Valor;Peso;PPI;CPU Freq;M. Interna;C. Traseira;Bateria;Espessura
1522;160;220;1.2;0;8;2500;10.8
2343;158;432;2.5;16;16;2800;8.9
2744;142;440;1.25;16;16;2700;8
833;78.4;166;1;0;2;1100;12.9
2744;142;440;1.25;16;16;2700;8
1676;150;294;1.2;16;10;2200;8.5
1676;150;294;1.2;16;10;2200;8.5
2858;174;513;1.875;32;16;3200;7.6
2975;149;534;1.6;32;16;3000;7
2975;149;534;1.6;32;16;3000;7
754;77.9;167;1;0.4;0;850;12.4
2880;145;432;2.1;32;20;3200;7
2858;174;513;1.875;32;16;3200;7.6
3287;170;401;2;32;12;5000;8
3287;170;401;2;32;12;5000;8
2054;169;403;1.35;16;21;3630;10.9
1734;118;245;1.2;4;5;1730;10.9
1734;118;245;1.2;4;5;1730;10.9
2054;169;403;1.35;16;21;3630;10.9
2001;194.8;258;1.2;16;8;3400;10.2
2001;194.8;258;1.2;16;8;3400;10.2
2880;145;432;2.1;32;20;3200;7
705;110;128;1.1;0.128;2;900;15.6
2491;753;247;1.6;32;8;9500;8
2491;753;247;1.6;32;8;9500;8
2466;154;534;2.7;32;13;3000;9.1
1357;165;200;1.2;0;5;2600;11.6
1357;165;200;1.2;0;5;2600;11.6
2466;154;534;2.7;32;13;3000;9.1
2266;112;294;1.4;8;8;1900;6.3
2266;112;294;1.4;8;8;1900;6.3
2445;183;294;1.3;32;8;4000;8.5
2445;183;294;1.3;32;8;4000;8.5
3116;153;401;1.5;64;13;3200;7.3
2409;160;441;2.3;32;4;2600;9.4
2409;160;441;2.3;32;4;2600;9.4
2508;152;424;2.5;16;20.7;3100;7.3
2508;152;424;2.5;16;20.7;3100;7.3
1921;179;184;1.3;8;13;2580;8
1921;179;184;1.3;8;13;2580;8
3102;180;806;1.75;32;23;3430;7.8
3102;180;806;1.75;32;23;3430;7.8
3055;158;401;1.875;64;16;3000;7.4
3055;158;401;1.875;64;16;3000;7.4
4361;238;515;1.95;128;12;7000;7.4
4361;238;515;1.95;128;12;7000;7.4
2536;202;367;1.5;16;21.5;2700;8.4
3551;178;538;1.875;128;12;4080;8.4
3551;178;538;1.875;128;12;4080;8.4
3211;170;534;1.975;128;20;3400;7.9
3260;150;401;2.2;64;20;3000;6.8
3211;170;534;1.975;128;20;3400;7.9
2536;202;367;1.5;16;21.5;2700;8.4
